num_iter,area,area_loss(%),error_L1,orden_L1,IoU,orden_IoU,tiempo_horas,tiempo_minutos,tiempo_segundos
50000,0.08490822,-20.12055977,0.01508953,0.0,0.83246394,0.0,0,7,58.37017512321472
100000,0.07313278,-3.46172111,0.00360487,-2.06552873,0.95387508,0.19641256,0,15,58.35758948326111
150000,0.07594226,-7.43631581,0.00557635,1.07592176,0.9307728,-0.06046762,0,23,57.55687761306763
200000,0.07325902,-3.64031038,0.00272935,-2.48354355,0.96491767,0.12523399,0,31,56.89174771308899
250000,0.073792,-4.394319,0.00329485,0.84383867,0.95796057,-0.03242829,0,39,55.50055456161499
300000,0.06888987,2.54076657,0.00190646,-3.00081095,0.97456013,0.09422694,0,47,54.43447470664978
350000,0.07101889,-0.47117689,0.00082926,-5.40036322,0.98905445,0.095771,0,55,54.05353832244873
400000,0.07113957,-0.64189879,0.00083268,0.0308218,0.98901523,-0.00029697,1,3,54.8327317237854
450000,0.07080879,-0.1739477,0.00059501,-2.85330736,0.99209394,0.02638809,1,11,52.53476166725159
500000,0.07028749,0.56353945,0.00071125,1.69366837,0.99053774,-0.01489963,1,19,51.446218490600586
550000,0.07022076,0.65794787,0.00058026,-2.13563448,0.99227615,0.0183976,1,27,50.69370102882385
600000,0.07004747,0.90309508,0.00078088,3.41271705,0.98953557,-0.03178589,1,35,49.380167961120605
650000,0.0699793,0.99954903,0.00082395,0.67074642,0.9889742,-0.00708956,1,43,48.45355534553528
700000,0.07060003,0.12139332,0.00065036,-3.19242027,0.9913341,0.03216074,1,51,47.73072814941406
750000,0.07075685,-0.10046647,0.00043723,-5.75518419,0.99415737,0.04122023,1,59,46.34520649909973
800000,0.07032931,0.50437684,0.00049718,1.99094678,0.9933285,-0.01292389,2,7,45.663389682769775
850000,0.07081747,-0.18622079,0.00043475,-2.21330833,0.99420922,0.01461852,2,15,43.2428503036499
900000,0.07088253,-0.27826901,0.00039144,-1.83593104,0.99482359,0.01080781,2,23,40.816274642944336
950000,0.07041818,0.37865628,0.00040006,0.40287421,0.99463008,-0.00359804,2,31,39.077831983566284
1000000,0.07100721,-0.45465542,0.00041374,0.6555091,0.99452241,-0.00211055,2,39,37.9232873916626
1050000,0.07069557,-0.01376807,0.00028393,-7.71692481,0.9962194,0.03494316,2,47,36.557706117630005
1100000,0.07053285,0.21643114,0.00028759,0.27532505,0.99613023,-0.00192417,2,55,34.7739896774292
1150000,0.07095282,-0.37771255,0.00042047,8.54493178,0.99447459,-0.03742157,3,3,32.96296715736389
1200000,0.07069101,-0.00731683,0.00018587,-19.18075715,0.99750383,0.07146307,3,11,31.455547332763672
1250000,0.0702995,0.54654593,0.00044667,21.47794523,0.99398315,-0.08661344,3,19,29.782567977905273
1300000,0.07027893,0.5756552,0.00043263,-0.81429442,0.99415159,0.0043203,3,27,28.801502227783203
1350000,0.07052061,0.23373935,0.00021443,-18.59812969,0.99711192,0.07878364,3,35,27.40875244140625
1400000,0.07067343,0.01754406,0.00013111,-13.5270428,0.99829845,0.03270103,3,43,28.229397773742676
1450000,0.07118606,-0.70767,0.00052987,39.79887435,0.99297985,-0.15222875,3,51,27.53525948524475
1500000,0.07064663,0.05546477,0.00092449,16.41843848,0.98775526,-0.15560991,3,59,28.211134672164917
1550000,0.07068934,-0.00495662,0.00055371,-15.63293443,0.99269169,0.15203431,4,7,26.75701379776001
1600000,0.07115614,-0.66534355,0.00049812,-3.33242236,0.99348276,0.02509006,4,15,26.018347024917603
1650000,0.07054608,0.1977068,0.00034011,-12.40010886,0.99550969,0.06623459,4,23,26.329104900360107
1700000,0.0706017,0.11903311,9.889e-05,-41.37816964,0.99870082,0.10720534,4,31,26.240483045578003
1750000,0.07087886,-0.27307655,0.00020392,24.96657933,0.99734132,-0.04699247,4,39,26.325450897216797
1800000,0.0704541,0.32783308,0.00026541,9.35533673,0.99640723,-0.03326197,4,47,26.22867202758789
1850000,0.07042874,0.36370828,0.00027367,1.11855286,0.99633589,-0.00261323,4,55,26.8887677192688
1900000,0.07036969,0.44725974,0.00035238,9.47895589,0.99526722,-0.04024171,5,3,25.15261697769165
1950000,0.07027036,0.58777094,0.00053376,15.98569338,0.9929344,-0.0903415,5,11,24.574721574783325
2000000,0.0708644,-0.25262139,0.00043687,-7.91184734,0.99416205,0.04880447,5,19,24.101891040802002
