num_iter,area,area_loss(%),error_L1,orden_L1,IoU,orden_IoU,tiempo_horas,tiempo_minutos,tiempo_segundos
50000,0.07453429,-5.44445538,0.00539922,0.0,0.93230977,0.0,0,8,30.52719521522522
100000,0.07154197,-1.2111816,0.00157237,-1.77981026,0.97935559,0.07102339,0,16,15.50355839729309
150000,0.07108585,-0.56590001,0.00107331,-0.94172518,0.98584223,0.01628139,0,23,59.43958401679993
200000,0.0701181,0.8031795,0.00077887,-1.11462788,0.98960389,0.0132383,0,31,42.96673631668091
250000,0.0710507,-0.51617824,0.00111768,1.61853764,0.98523664,-0.01982086,0,39,26.662306785583496
300000,0.07513211,-6.29019752,0.00471676,7.89740413,0.94085475,-0.25281204,0,47,10.561776638031006
350000,0.07061393,0.1017249,0.00032618,-17.32997888,0.99559271,0.36684546,0,54,55.04043674468994
400000,0.07356988,-4.08009629,0.00305919,16.7635193,0.96084114,-0.26607346,1,2,39.25649380683899
450000,0.06572126,7.02343594,0.00526846,4.61516314,0.92972705,-0.27948031,1,10,23.941283226013184
500000,0.07800699,-10.35731248,0.0077671,3.68410084,0.90613672,-0.24393245,1,18,8.749236106872559
550000,0.07093436,-0.35159289,0.0003178,-33.53503158,0.99578215,0.98980307,1,25,52.92733812332153
600000,0.07361927,-4.14995853,0.00311158,26.22029141,0.96020423,-0.41813506,1,33,37.61586570739746
650000,0.06699509,5.22133645,0.00391689,2.87555659,0.94776436,-0.16291422,1,41,22.18750548362732
700000,0.07016292,0.73976851,0.0005576,-26.30501597,0.9924878,0.62218427,1,49,6.548207521438599
750000,0.06660181,5.77771677,0.00433417,29.72254238,0.94222041,-0.75334583,1,56,50.93530607223511
800000,0.07161126,-1.30920901,0.00098102,-23.02024486,0.98704993,0.72021169,2,4,35.439568281173706
850000,0.06910386,2.23803022,0.00167941,8.86776622,0.97760824,-0.15854299,2,12,19.922868251800537
900000,0.07047368,0.30013994,0.00072801,-14.62397187,0.99030373,0.22573539,2,20,4.328224420547485
950000,0.06740305,4.64418628,0.00348402,28.95705119,0.95352073,-0.70006424,2,27,49.10629725456238
1000000,0.06963017,1.49346244,0.00112098,-22.10783125,0.98503558,0.63393465,2,35,33.90492486953735
1050000,0.06623511,6.29649107,0.00472325,29.47917564,0.936988,-1.02494607,2,43,18.24288058280945
1100000,0.07255676,-2.64681905,0.00198423,-18.64286115,0.97424277,0.83813488,2,51,2.5558040142059326
1150000,0.07162817,-1.33312581,0.00099896,-15.43856601,0.98684647,0.28916631,2,58,46.73108792304993
1200000,0.07002645,0.93283374,0.00070358,-8.23628586,0.99059386,0.08905501,3,6,30.99556875228882
1250000,0.07200866,-1.87141118,0.00140267,16.90145871,0.98169509,-0.22105389,3,14,14.038355350494385
1300000,0.06919195,2.1134111,0.00158594,3.13099172,0.97880483,-0.07517699,3,21,58.45301675796509
1350000,0.07152684,-1.18978235,0.00089145,-15.26439357,0.98824822,0.25441313,3,29,43.0560142993927
1400000,0.07238848,-2.40875247,0.00180568,19.40854836,0.97648917,-0.32914536,3,37,27.468785285949707
1450000,0.0708584,-0.24412463,0.0001874,-64.55861944,0.99753849,0.60775927,3,45,11.81516718864441
1500000,0.0728515,-3.06378959,0.00229696,73.92276444,0.97029383,-0.81682961,3,52,54.804848194122314
1550000,0.07124901,-0.79672861,0.00059666,-41.11014442,0.99210098,0.67783084,4,0,39.35640048980713
1600000,0.07239527,-2.41835066,0.00181288,35.00378416,0.97646217,-0.50045791,4,8,23.632181406021118
1650000,0.07069779,-0.01691502,0.00026151,-62.9215187,0.99654752,0.66167432,4,16,8.522581815719604
1700000,0.07126836,-0.82410705,0.0006172,28.76500374,0.99184668,-0.15838584,4,23,53.64972114562988
1750000,0.06972693,1.35657022,0.00101831,17.27316643,0.98639856,-0.19001431,4,31,38.34129595756531
1800000,0.07257244,-2.66900503,0.00200087,23.97645257,0.97398075,-0.44971807,4,39,23.255666255950928
1850000,0.07081913,-0.18858101,0.00022292,-80.0951301,0.99703692,0.8539101,4,47,8.393879652023315
1900000,0.06991946,1.08420191,0.00081404,48.56699198,0.98911035,-0.29930342,4,54,53.06056189537048
1950000,0.06778132,4.10904786,0.00308267,51.26148008,0.95888413,-1.19480569,5,2,37.649569511413574
2000000,0.07172571,-1.47111946,0.00110245,-40.61414517,0.98554153,1.08307255,5,10,22.61539340019226
