num_iter,area,area_loss(%),error_L1,orden_L1,IoU,orden_IoU,tiempo_horas,tiempo_minutos,tiempo_segundos
50000,0.11684615,2.62820811,0.01829829,0.0,0.78011073,0.0,0,4,8.259807348251343
100000,0.13066552,-8.88793479,0.01459403,-0.32633051,0.82963788,0.08880285,0,8,12.998016834259033
150000,0.1290459,-7.53825211,0.01279613,-0.32424432,0.84816113,0.05445922,0,12,21.071621656417847
200000,0.1280776,-6.73133428,0.01143268,-0.39163671,0.86269826,0.05907341,0,16,31.22033166885376
250000,0.12748011,-6.23342909,0.01019603,-0.51302174,0.87630799,0.070146,0,20,40.062623023986816
300000,0.12592167,-4.9347233,0.00891683,-0.73528292,0.89041665,0.08760282,0,24,55.03139305114746
350000,0.12656275,-5.46896111,0.00867562,-0.17790197,0.89345363,0.02208837,0,29,9.312163829803467
400000,0.12693746,-5.78121774,0.00845797,-0.19027436,0.89611238,0.02225239,0,33,22.72304630279541
450000,0.12735243,-6.12702642,0.00835154,-0.10751327,0.89759842,0.01406778,0,37,36.993507623672485
500000,0.12570289,-4.75241141,0.00749465,-1.02748662,0.90704497,0.09936602,0,41,52.10582971572876
550000,0.12466208,-3.8850628,0.00711997,-0.53809489,0.91106014,0.04634217,0,46,5.310580730438232
600000,0.12685393,-5.71161111,0.00759287,0.73905436,0.90621735,-0.06125328,0,50,19.05325675010681
650000,0.12531528,-4.4294033,0.00687562,-1.23968605,0.91422883,0.10996284,0,54,34.22388982772827
700000,0.12525011,-4.37508974,0.00676148,-0.2258869,0.91561503,0.02044452,0,58,47.55818152427673
750000,0.12507716,-4.23096417,0.00661794,-0.31101268,0.91710607,0.02358407,1,3,0.7433631420135498
800000,0.12421741,-3.51450715,0.00619126,-1.0326472,0.92192396,0.08118579,1,7,14.769671201705933
850000,0.12533319,-4.44432562,0.00656511,0.96710942,0.91783034,-0.07340563,1,11,29.321410179138184
900000,0.12417359,-3.47798916,0.00600816,-1.55096532,0.92436758,0.12416803,1,15,43.006887435913086
950000,0.12357187,-2.97656193,0.00570897,-0.94474844,0.92779099,0.06837183,1,19,54.321582078933716
1000000,0.12361759,-3.01465557,0.00570404,-0.01684287,0.9278125,0.00045199,1,24,7.608365535736084
1050000,0.12474983,-3.95819146,0.00605786,1.23348441,0.92383508,-0.08805246,1,28,15.45705246925354
1100000,0.12504735,-4.20612452,0.00614927,0.32194257,0.92294737,-0.02066548,1,32,20.169211626052856
1150000,0.12363627,-3.03022669,0.00543627,-2.77244826,0.93118196,0.19982316,1,36,26.751944541931152
1200000,0.12260135,-2.1677904,0.0050066,-1.93460686,0.93612506,0.12439903,1,40,33.525062799453735
1250000,0.12326868,-2.72390192,0.00520249,0.94018716,0.93380853,-0.06069428,1,44,44.18143820762634
1300000,0.12262893,-2.19077634,0.00488231,-1.61952406,0.93754657,0.1018598,1,48,59.82015609741211
1350000,0.11988441,0.096325,0.00463012,-1.4052788,0.94025243,0.07636262,1,53,14.731419563293457
1400000,0.1215156,-1.26299694,0.00463901,0.05274457,0.94048741,0.00687095,1,57,28.311290502548218
1450000,0.1226445,-2.20375228,0.00470964,0.4306048,0.93967194,-0.02471973,2,1,43.01136040687561
1500000,0.12117147,-0.97622876,0.0044947,-1.37788817,0.94206583,0.07505087,2,5,57.26737380027771
1550000,0.12237512,-1.97926859,0.00459508,0.6736005,0.94088064,-0.03839202,2,10,11.249995708465576
1600000,0.12017837,-0.14864212,0.00427997,-2.23757727,0.94458361,0.12371903,2,14,25.05888795852661
1650000,0.12049346,-0.41121945,0.00433996,0.45233607,0.94402987,-0.01905645,2,18,40.71193051338196
1700000,0.12036511,-0.30426067,0.00418606,-1.20943351,0.94586752,0.06514293,2,22,55.27735185623169
1750000,0.12062515,-0.52095879,0.00428046,0.76931418,0.94467018,-0.04369693,2,27,8.6248459815979
1800000,0.12247767,-2.06472439,0.00441101,1.06646335,0.94352121,-0.04320086,2,31,24.04105806350708
1850000,0.120583,-0.48583108,0.00414998,-2.22636705,0.94623924,0.10498892,2,35,38.329190731048584
1900000,0.11948712,0.42739673,0.00408652,-0.57783186,0.94689476,0.0259681,2,39,52.19228148460388
1950000,0.12061514,-0.51261712,0.00409194,0.05102631,0.94711254,0.00885325,2,44,5.200367212295532
2000000,0.12024355,-0.20295568,0.00402972,-0.60519815,0.94765808,0.02274437,2,48,20.787126302719116
