num_iter,area,area_loss(%),error_L1,orden_L1,IoU,orden_IoU,tiempo_horas,tiempo_minutos,tiempo_segundos
50000,0.08642852,27.97623498,0.05133278,0.0,0.43093817,0.0,0,7,59.93032670021057
100000,0.11910241,0.74799503,0.03728283,-0.46136902,0.60082057,0.47945332,0,15,59.38352990150452
150000,0.10579377,11.83852723,0.0251329,-0.97259948,0.69783962,0.36918829,0,23,59.038538694381714
200000,0.11277341,6.02215676,0.01952911,-0.87691099,0.76341694,0.31220237,0,31,59.60538387298584
250000,0.12890788,-7.42322971,0.01433885,-1.38446096,0.83125118,0.3814929,0,39,59.72300124168396
300000,0.12072659,-0.60548774,0.00938111,-2.32706736,0.88275629,0.32973144,0,48,0.6006107330322266
350000,0.12831117,-6.92597332,0.01084932,0.94326092,0.8694149,-0.09879102,0,56,0.2763493061065674
400000,0.12473181,-3.94317645,0.00819083,-2.10502687,0.89836888,0.24533787,1,4,0.8044459819793701
450000,0.12388841,-3.24034416,0.00563265,-3.17902497,0.92889829,0.2837292,1,12,1.4012925624847412
500000,0.12324388,-2.70323311,0.00452689,-2.07425764,0.94224912,0.13544399,1,20,2.3081417083740234
550000,0.11983747,0.13543818,0.00277103,-5.14967109,0.96381611,0.2374439,1,28,3.1616063117980957
600000,0.12257466,-2.14554594,0.00330963,2.04131132,0.95740476,-0.07670572,1,36,4.197019815444946
650000,0.12044119,-0.36765738,0.00210537,-5.65129779,0.97268662,0.1978407,1,44,4.636427640914917
700000,0.11933264,0.55613655,0.00207346,-0.20608463,0.972759,0.00100407,1,52,5.31756854057312
750000,0.12154162,-1.28468529,0.00196495,-0.77909367,0.9743336,0.0234428,2,0,6.418200254440308
800000,0.11890777,0.91019423,0.00192206,-0.34195503,0.974668,0.00531698,2,8,7.163649797439575
850000,0.11875628,1.03643154,0.00175662,-1.48464463,0.97673619,0.03496426,2,16,8.013230800628662
900000,0.1206346,-0.52883704,0.00116186,-7.23199458,0.98439914,0.13672265,2,24,8.962032556533813
950000,0.12049135,-0.40945843,0.00111139,-0.82139759,0.98541183,0.01901726,2,32,9.682448148727417
1000000,0.12027758,-0.23131737,0.00094164,-3.23129425,0.98759404,0.04312586,2,40,9.922484636306763
1050000,0.12049291,-0.41075602,0.0010074,1.38357799,0.98648526,-0.02302388,2,48,10.906188726425171
1100000,0.12023999,-0.19998975,0.00078231,-5.43587418,0.9896441,0.0687231,2,56,10.73612904548645
1150000,0.12013822,-0.11518275,0.00063543,-4.67808551,0.99148765,0.04186805,3,4,10.968661069869995
1200000,0.11998028,0.01643032,0.00081116,5.73697366,0.99037013,-0.02649813,3,12,11.479002237319946
1250000,0.12045376,-0.37813081,0.00060171,-7.31688208,0.99206882,0.04198075,3,20,11.79634976387024
1300000,0.12033575,-0.27979176,0.00047985,-5.76996256,0.99377895,0.04391347,3,28,12.57607626914978
1350000,0.12004802,-0.04001501,0.00039331,-5.26957397,0.99432933,0.01467057,3,36,13.39857530593872
1400000,0.12003767,-0.03139528,0.00107448,27.63428923,0.98633347,-0.22200963,3,44,13.690490007400513
1450000,0.12078231,-0.65192306,0.0005867,-17.24296749,0.99201308,0.16362424,3,52,14.023735523223877
1500000,0.12051971,-0.43309317,0.00055896,-1.42871637,0.99239099,0.01123489,4,0,14.895402193069458
1550000,0.11961481,0.32099406,0.00050252,-3.24620461,0.99234474,-0.00142135,4,8,15.460176467895508
1600000,0.11989653,0.08622231,0.00033089,-13.16115206,0.99545375,0.09852676,4,16,15.994130849838257
1650000,0.11980489,0.16259496,0.00067762,23.29418355,0.99168107,-0.12339633,4,24,16.989162921905518
1700000,0.12012276,-0.1022995,0.00030586,-26.64590359,0.99617794,0.15155422,4,32,17.711516618728638
1750000,0.12010541,-0.0878406,0.00027514,-3.65148037,0.99638541,0.00718393,4,40,16.411691427230835
1800000,0.12007304,-0.06086919,0.00034055,7.57100671,0.99575354,-0.02251841,4,48,15.40481686592102
1850000,0.11957221,0.35649251,0.0004606,11.02114362,0.99362782,-0.07799807,4,56,15.33411693572998
1900000,0.1200875,-0.07291827,0.0002702,-20.00009825,0.99645364,0.10649015,5,4,16.172093868255615
1950000,0.12011831,-0.09859209,0.00053415,26.2368243,0.9938132,-0.1021484,5,12,16.73898148536682
2000000,0.11948201,0.43166026,0.00047944,-4.26806074,0.99406585,0.01003999,5,20,17.3834285736084
