num_iter,area,area_loss(%),error_L1,orden_L1,IoU,orden_IoU,tiempo_horas,tiempo_minutos,tiempo_segundos
50000,0.0,100.0,0.07500089,0.0,0.0,0.0,0,7,15.315041780471802
100000,0.0183459,74.04586514,0.05553528,-0.43350315,0.25948596,inf,0,14,25.385878562927246
150000,0.04128472,41.59407042,0.03119644,-1.42235299,0.58410097,2.00108776,0,21,48.62629556655884
200000,0.05475919,22.53159325,0.01840115,-1.83497991,0.7570366,0.90147341,0,29,18.231539726257324
250000,0.05937469,16.00199187,0.01425308,-1.14473458,0.81277685,0.31838246,0,36,51.631837606430054
300000,0.06253118,11.53647336,0.01185675,-1.00962114,0.84521585,0.21465067,0,44,22.584508419036865
350000,0.06426213,9.08767616,0.01129396,-0.31546573,0.85375437,0.06520562,0,51,52.44583821296692
400000,0.06884116,2.60968472,0.0100414,-0.88032874,0.87296015,0.16660036,0,59,25.035597324371338
450000,0.0698059,1.24485358,0.00960027,-0.3814244,0.87900127,0.05855202,1,6,57.69670104980469
500000,0.06833143,3.33080774,0.00912033,-0.48675953,0.88355818,0.0490772,1,14,29.00165629386902
550000,0.07015136,0.75613264,0.0084112,-0.8492465,0.8934541,0.11685867,1,22,1.8413708209991455
600000,0.07058724,0.13948827,0.00789774,-0.72389969,0.89989971,0.08261404,1,29,34.40766763687134
650000,0.06867855,2.83972658,0.00777583,-0.19435172,0.9000911,0.00265679,1,37,6.540181875228882
700000,0.07152017,-1.18034151,0.00678136,-1.84652918,0.91397556,0.20656146,1,44,27.288371324539185
750000,0.07095716,-0.3838491,0.00636242,-0.92428192,0.91878964,0.07614357,1,51,45.84289264678955
800000,0.07221909,-2.16911242,0.00569118,-1.72751402,0.92765086,0.14872108,1,59,0.7356786727905273
850000,0.07172315,-1.46750047,0.00571088,0.05699861,0.92719939,-0.00802973,2,6,27.05704402923584
900000,0.07278621,-2.97142668,0.00513334,-1.86528283,0.93470111,0.14097969,2,13,57.961320638656616
950000,0.07364185,-4.18190004,0.00515706,0.08526664,0.93482192,0.00239039,2,21,29.991044998168945
1000000,0.07110042,-0.58651252,0.00450493,-2.63571094,0.94182057,0.14541331,2,29,2.065850257873535
1050000,0.07301333,-3.29273002,0.00445667,-0.22075151,0.94319274,0.02983948,2,36,33.62727665901184
1100000,0.07057667,0.15443627,0.00400776,-2.28222986,0.9478566,0.1060312,2,44,4.3268187046051025
1150000,0.07299665,-3.26912792,0.00438303,2.01359359,0.94407915,-0.08983259,2,51,36.810219526290894
1200000,0.07005426,0.89349689,0.00393282,-2.54662881,0.94865203,0.11353611,2,59,7.675945043563843
1250000,0.07068478,0.00149462,0.00342738,-3.36976688,0.95531919,0.17156079,3,6,40.328277349472046
1300000,0.07123132,-0.77171038,0.00335539,-0.5412475,0.95635735,0.02769264,3,14,10.951990604400635
1350000,0.07164407,-1.35562649,0.00328069,-0.59655661,0.95749499,0.03150074,3,21,35.85386061668396
1400000,0.0717177,-1.45979045,0.00309093,-1.63831755,0.95990618,0.06915658,3,29,7.935430288314819
1450000,0.07010275,0.82489344,0.00302862,-0.58034142,0.9602379,0.00984619,3,36,39.544387340545654
1500000,0.07176719,-1.52981003,0.00284205,-1.87547308,0.96303985,0.08594668,3,44,9.385755777359009
1550000,0.07125946,-0.81151926,0.00289763,0.59065701,0.96225828,-0.02476058,3,51,40.95270395278931
1600000,0.07138626,-0.99089527,0.00270645,-2.14986289,0.96465711,0.07842258,3,59,12.374639987945557
1650000,0.07011944,0.80129133,0.00263423,-0.8789547,0.96530322,0.02175891,4,6,43.467493772506714
1700000,0.07095271,-0.3775552,0.00264037,0.07798689,0.9654515,0.00514515,4,14,13.650335788726807
1750000,0.07004814,0.902151,0.00253782,-1.36657399,0.966536,0.03872969,4,21,46.09144067764282
1800000,0.07161304,-1.31172657,0.00235702,-2.62353691,0.96925075,0.09956398,4,29,18.8917555809021
1850000,0.07066298,0.03233471,0.00220503,-2.43282813,0.97100954,0.06616827,4,36,50.62417268753052
1900000,0.07141273,-1.02834395,0.00199485,-3.75623694,0.97383524,0.10896247,4,44,21.60588788986206
1950000,0.07139204,-0.99907734,0.00221907,4.10076362,0.97098461,-0.11285689,4,51,52.79391860961914
2000000,0.07100321,-0.44899091,0.0018497,-7.19117253,0.97569308,0.19106912,4,59,24.855197429656982
