num_iter,area,area_loss(%),error_L1,orden_L1,IoU,orden_IoU,tiempo_horas,tiempo_minutos,tiempo_segundos
50000,0.00157802,97.76755544,0.07332655,0.0,0.02231033,0.0,0,7,6.346019268035889
100000,0.03606139,48.9835752,0.03673857,-0.99704019,0.51013205,4.51508699,0,14,20.172444581985474
150000,0.0499169,29.38202593,0.0220374,-1.26049353,0.70613516,0.80188663,0,21,38.23553538322449
200000,0.06275051,11.22618434,0.01206776,-2.09329546,0.84289289,0.61537803,0,29,12.508278846740723
250000,0.06649603,5.92735413,0.01081047,-0.49305626,0.86170968,0.09894314,0,36,49.18478798866272
300000,0.06587608,6.80440839,0.00935446,-0.79344361,0.87870254,0.10710756,0,44,23.09786891937256
350000,0.06677576,5.53162548,0.00797315,-1.0364767,0.89631269,0.12872407,0,51,57.72844576835632
400000,0.06308496,10.75304078,0.00925191,1.11397303,0.87749769,-0.1588766,0,59,30.643730401992798
450000,0.06022543,14.7984418,0.01135651,1.74015833,0.84883355,-0.28196938,1,7,4.947810411453247
500000,0.0671934,4.94078608,0.00679033,-4.88125559,0.91123214,0.67325573,1,14,34.87975096702576
550000,0.06950627,1.66874741,0.00554024,-2.13473231,0.92816727,0.19320371,1,22,9.085280418395996
600000,0.07259791,-2.70503758,0.00581816,0.56252689,0.9262672,-0.02355116,1,29,44.657790422439575
650000,0.06574617,6.98819013,0.00718495,2.63614895,0.9054183,-0.2844194,1,37,20.562114477157593
700000,0.07187919,-1.68825884,0.00466519,-5.8274432,0.94020366,0.50870997,1,44,55.26260161399841
750000,0.06653352,5.87432806,0.0052936,1.83163824,0.92979789,-0.16131045,1,52,29.68936324119568
800000,0.07133788,-0.92244916,0.00495798,-1.01489998,0.93628048,0.10765431,2,0,4.368035554885864
850000,0.06797162,3.8398265,0.00478002,-0.60295088,0.93707066,0.01391515,2,7,39.36798620223999
900000,0.0665968,5.7847974,0.00493756,0.5673102,0.9344053,-0.04983354,2,15,14.341077327728271
950000,0.06890011,2.52629061,0.00386496,-4.52991561,0.9491035,0.28866974,2,22,48.09195947647095
1000000,0.06349214,10.17699204,0.00763363,13.26902788,0.89812369,-1.07636012,2,30,23.223502159118652
1050000,0.06708029,5.10080836,0.00409178,-12.78092446,0.94548025,1.05318771,2,37,58.71070575714111
1100000,0.06531074,7.6042051,0.00573567,7.25976727,0.92353678,-0.50478001,2,45,12.513761281967163
1150000,0.0693223,1.92899997,0.00358764,-10.55548618,0.95284767,0.70288378,2,52,26.548920392990112
1200000,0.06582525,6.87631615,0.00517252,8.59653917,0.93096234,-0.54596883,2,59,42.16473126411438
1250000,0.06826692,3.42206922,0.00320422,-11.73120794,0.95749564,0.68841179,3,7,17.422849893569946
1300000,0.06632776,6.1654207,0.00462495,9.3572207,0.93833327,-0.5154415,3,14,52.76357078552246
1350000,0.06778632,4.10196722,0.00460324,-0.12467186,0.93924855,0.02583327,3,22,26.96639084815979
1400000,0.06928004,1.98879197,0.00325178,-9.55678798,0.9571682,0.51966503,3,30,2.0434234142303467
1450000,0.07222765,-2.18122817,0.00316186,-0.79911718,0.95914223,0.05871085,3,37,37.2351508140564
1500000,0.06497474,8.07955152,0.00606055,19.19204464,0.9191631,-1.2558656,3,45,11.94060230255127
1550000,0.06727392,4.82686658,0.00365738,-15.40275206,0.95122711,1.04572885,3,52,44.7882194519043
1600000,0.05775696,18.29060944,0.01371884,41.64022769,0.81702128,-4.79036033,4,0,16.78937602043152
1650000,0.0641072,9.30686105,0.00698103,-21.95440966,0.90688215,3.39102185,4,7,51.12252902984619
1700000,0.06668456,5.66065032,0.00461858,-13.83812956,0.93857976,1.15081813,4,15,0.898226261138916
1750000,0.055678,21.23174658,0.0159247,42.70056024,0.78764117,-6.04829661,4,22,12.716411590576172
1800000,0.07137158,-0.97012542,0.00252236,-65.41068615,0.96708734,7.28575806,4,29,24.948132038116455
1850000,0.07008718,0.84692207,0.00252779,0.07848586,0.96662996,-0.01726553,4,36,33.11160349845886
1900000,0.07184171,-1.63523277,0.0032362,9.26399092,0.95807648,-0.33328574,4,43,46.709829330444336
1950000,0.06297696,10.90582508,0.00818025,35.69992477,0.89091231,-2.79808438,4,51,5.678701400756836
2000000,0.06988253,1.13644124,0.0019762,-56.10860563,0.97380793,3.51405153,4,58,47.23035907745361
