num_iter,area,area_loss(%),error_L1,orden_L1,IoU,orden_IoU,tiempo_horas,tiempo_minutos,tiempo_segundos
50000,0.03586708,29.62883924,0.03281646,0.0,0.33321163,0.0,0,7,6.094595909118652
100000,0.04149604,18.58482597,0.02977085,-0.14051921,0.40240009,0.27219187,0,12,1.5900051593780518
150000,0.04327504,15.09442896,0.02878089,-0.0834057,0.42437437,0.13113131,0,16,22.050089120864868
200000,0.04600477,9.73870444,0.0275008,-0.15814865,0.45424892,0.23647395,0,20,40.337104082107544
250000,0.0471071,7.57594579,0.0267749,-0.11987895,0.46915612,0.14470623,0,24,58.354904890060425
300000,0.04798531,5.85289641,0.02606926,-0.14648865,0.48294527,0.15888271,0,29,17.677661657333374
350000,0.04902435,3.8143038,0.02540296,-0.16795995,0.49676648,0.18304637,0,33,38.01327633857727
400000,0.04780513,6.20640958,0.02570115,0.08739544,0.48772635,-0.13753744,0,37,58.122719049453735
450000,0.04720864,7.37671275,0.02546389,-0.07874112,0.488946,0.02120478,0,42,19.16470193862915
500000,0.04823556,5.3619059,0.02496458,-0.18795798,0.5003388,0.21861525,0,46,42.193376779556274
550000,0.04769046,6.43139235,0.02505325,0.03720001,0.49694841,-0.07133814,0,51,16.02255916595459
600000,0.04826003,5.31389794,0.02452704,-0.24396094,0.5070422,0.23109641,0,55,50.06439757347107
650000,0.04850238,4.8384009,0.0232014,-0.69417393,0.52821714,0.51114231,1,0,16.71846914291382
700000,0.04260715,16.40482809,0.01731608,-3.94798378,0.60657879,1.86656275,1,4,43.47293496131897
750000,0.04565598,10.42303611,0.01149245,-5.94184939,0.72812778,2.64725792,1,9,10.557049036026001
800000,0.04723956,7.31604814,0.00944025,-3.04791358,0.7743333,0.95331974,1,13,37.89261722564697
850000,0.05122955,-0.5123046,0.00759277,-3.59236854,0.82107686,0.9668402,1,18,4.113524913787842
900000,0.04881002,4.2348099,0.00760589,0.03020497,0.81681327,-0.09108387,1,22,29.742111682891846
950000,0.04862217,4.60338011,0.00694,-1.6945789,0.83121773,0.3233245,1,26,56.963862657547
1000000,0.05284305,-3.67799321,0.0066882,-0.72050344,0.84310937,0.27693519,1,31,21.814902544021606
1050000,0.04991457,2.06768688,0.00682973,0.42919228,0.83572681,-0.18025992,1,35,55.955469369888306
1100000,0.05053864,0.84326565,0.0066513,-0.56906294,0.8405755,0.12435505,1,40,31.082866668701172
1150000,0.05129006,-0.6310152,0.00628773,-1.26456648,0.84966066,0.24184125,1,45,3.151885986328125
1200000,0.05088398,0.16569874,0.00629369,0.02226122,0.84891995,-0.02049247,1,49,38.47565412521362
1250000,0.04981603,2.26102804,0.00584355,-1.81786942,0.8575587,0.24802162,1,54,4.700000524520874
1300000,0.04725669,7.28244257,0.00609779,1.08585281,0.84827362,-0.27756718,1,58,31.442655563354492
1350000,0.05210176,-2.2235702,0.00583456,-1.16924142,0.86073518,0.38642048,2,2,58.40470266342163
1400000,0.0513678,-0.78354958,0.00582153,-0.06147613,0.86006751,-0.0213376,2,7,24.664204359054565
1450000,0.05176575,-1.56433361,0.00571076,-0.5474573,0.86309826,0.10024294,2,11,51.271387577056885
1500000,0.05205749,-2.13671944,0.00593709,1.14646669,0.85845547,-0.15909991,2,16,17.89399266242981
1550000,0.05053085,0.85854091,0.00552796,-2.17751295,0.86568668,0.25581816,2,20,43.50818729400635
1600000,0.05147991,-1.00351333,0.0051638,-2.14642211,0.87513057,0.34174807,2,25,10.06499195098877
1650000,0.05098709,-0.03658935,0.00570899,3.26174757,0.86215535,-0.48543445,2,29,35.88062286376953
1700000,0.05191601,-1.85914613,0.00493377,-4.88858419,0.88082361,0.71758087,2,34,4.145843505859375
1750000,0.05192191,-1.87071169,0.0052312,2.01939529,0.87406084,-0.26588689,2,38,31.135850191116333
1800000,0.0516671,-1.37077424,0.00540946,1.18947577,0.86971669,-0.17686596,2,43,4.828932523727417
1850000,0.05104381,-0.14788053,0.00505227,-2.49321836,0.87704714,0.30633364,2,47,33.95916128158569
1900000,0.05093303,0.0694646,0.005237,1.346589,0.87278214,-0.18279308,2,52,7.818113803863525
1950000,0.05062728,0.6693459,0.00499621,-1.81206194,0.87788583,0.22446469,2,56,40.54155135154724
2000000,0.05238804,-2.78526335,0.00480753,-1.52051814,0.8842149,0.28373632,3,1,11.340544939041138
