num_iter,area,area_loss(%),error_L1,orden_L1,IoU,orden_IoU,tiempo_horas,tiempo_minutos,tiempo_segundos
50000,0.0,100.0,0.03849108,0.0,0.0,0.0,0,6,33.541378021240234
100000,0.0,100.0,0.03849108,0.0,0.0,,0,13,55.250656604766846
150000,0.0,100.0,0.03849108,0.0,0.0,,0,20,26.8642258644104
200000,0.014888,70.78977417,0.04474082,0.52300707,0.05305377,inf,0,27,49.087311029434204
250000,0.03156667,38.06623844,0.03694668,-0.85779083,0.25589261,7.05129916,0,35,8.913832187652588
300000,0.03238827,36.45426203,0.03607639,-0.1307424,0.27158033,0.32634707,0,42,8.300469636917114
350000,0.03060549,39.95207845,0.03650343,0.07633826,0.25613798,-0.37976924,0,46,22.129428386688232
400000,0.03379579,33.69271317,0.03458065,-0.40523768,0.29876082,1.15274044,0,50,35.506622076034546
450000,0.04603413,9.68109489,0.02782572,-1.8452021,0.44970653,3.47207806,0,54,45.38331627845764
500000,0.04658491,8.60047932,0.02740297,-0.14530463,0.45806102,0.17470674,0,58,56.21218156814575
550000,0.03894772,23.58463692,0.0313514,1.41231002,0.36854497,-2.28138975,1,3,9.93504285812378
600000,0.04278033,16.06506265,0.02934701,-0.75930595,0.41418501,1.34177877,1,7,21.6124210357666
650000,0.04225135,17.10290749,0.02959612,0.10560118,0.40827926,-0.17942118,1,11,33.78621029853821
700000,0.04687809,8.02525666,0.02717891,-1.14970042,0.46246483,1.68158845,1,15,47.593167543411255
750000,0.04660304,8.56490979,0.02733027,0.0804949,0.45913998,-0.10458153,1,19,59.389997482299805
800000,0.04951706,2.84759804,0.02576738,-0.91240901,0.49329157,1.11166613,1,24,11.470133066177368
850000,0.04814602,5.53757139,0.02658673,0.51633919,0.47604883,-0.58689003,1,28,23.60940194129944
900000,0.04737603,7.04829465,0.02701342,0.27855147,0.46680405,-0.34309658,1,32,36.72222685813904
950000,0.04897541,3.91031972,0.02599278,-0.71235346,0.48787822,0.81669167,1,36,47.37855553627014
1000000,0.04778488,6.24612526,0.02658396,0.43844365,0.47469556,-0.53402991,1,41,2.9002888202667236
1050000,0.04949259,2.895606,0.02542834,-0.9109157,0.49811501,0.98702931,1,45,22.884622812271118
1100000,0.04922488,3.42085674,0.02539834,-0.0253758,0.49761111,-0.02175678,1,49,41.73224878311157
1150000,0.04838359,5.07145773,0.02551516,0.10323478,0.49272703,-0.2218931,1,53,59.392985343933105
1200000,0.04823166,5.36954353,0.02450023,-0.95372763,0.5072967,0.68470335,1,58,19.143786191940308
1250000,0.04714891,7.49389582,0.02188972,-2.75991868,0.54406939,1.71429043,2,2,39.90659952163696
1300000,0.04514246,11.43054864,0.01485702,-9.88112169,0.66039506,4.94028339,2,6,59.587029695510864
1350000,0.04813368,5.56179359,0.01094809,-8.08968775,0.7449615,3.1927202,2,11,19.353674173355103
1400000,0.05034233,1.22842043,0.00844642,-7.13332785,0.80135389,2.00645717,2,15,40.553239583969116
1450000,0.05041963,1.07675892,0.00763379,-2.88271396,0.81885047,0.61550353,2,19,59.55894637107849
1500000,0.05161505,-1.26864821,0.00708649,-2.19442141,0.832638,0.49252858,2,24,17.979644060134888
1550000,0.05184683,-1.72341453,0.00611829,-4.4802776,0.85418369,0.77912255,2,28,37.71015381813049
1600000,0.05062139,0.68091146,0.00559486,-2.81694467,0.86430261,0.37093446,2,32,57.17812752723694
1650000,0.05053686,0.84675714,0.00571202,0.6734901,0.86150499,-0.10536001,2,37,15.920516967773438
1700000,0.0522043,-2.4247672,0.00566546,-0.27416491,0.86471118,0.12443345,2,41,35.06213688850403
1750000,0.05122132,-0.49615647,0.00528692,-2.38558544,0.87197498,0.28857835,2,45,56.38031363487244
1800000,0.05126636,-0.58453476,0.00497738,-2.14165138,0.87906502,0.28746477,2,50,15.54686713218689
1850000,0.05285962,-3.7105077,0.0049815,0.0301983,0.88076423,0.07048105,2,54,35.095439434051514
1900000,0.05216215,-2.34206258,0.00501403,0.2440705,0.87910865,-0.07055122,2,58,55.397730112075806
1950000,0.0514501,-0.94503091,0.00485653,-1.2286889,0.88203746,0.12804497,3,3,15.977197408676147
2000000,0.05267533,-3.34892046,0.00471264,-1.1879358,0.88660668,0.20408283,3,7,36.13125514984131
